DLPS,ESTC,DocNo,TCP,GaleDocNo
004843629,T70420,CW117444894,K059867.002,CW3317445150
004845903,T73566,CW102447906,K062151.000,CW3302447906
004843899,T70851,CW100650147,K060142.002,CW3300650530
004904197,T52354,CW106674544,K047375.000,CW3306674544
004887197,T130421,CW101728147,K103528.003,CW3301728409
004796604,T22744,CW114903317,K031187.000,CW3314903317
004902979,T50019,CW111349292,K046152.000,CW3311349292
004897843,T146992,CW121211391,K114226.005,CW3321212264
004861747,T96891,CW108360398,K078024.001,CW3308360398
004877346,T116942,CW113465844,K093660.003,CW3313523996
004782202,N33217,CW116959626,K016527.001,CW3316959626
004773836,N14983,CW114299090,K009421.000,CW3314299090
004844740,T71931,CW104921543,K060985.000,CW3304921543
004841488,T67190,CW113310689,K057721.000,CW3313310689
004897569,T146609,CW113522202,K113952.009,CW3313915859
004782202,N33217,CW116959626,K016527.003,CW3316960308
004877346,T116942,CW113465844,K093660.001,CW3313465844
004861747,T96891,CW108360398,K078024.003,CW3308360638
004892162,T137471,CW100272377,K108513.000,CW3300272377
004897260,T146144,CW101936451,K113641.001,CW3303172204
004902204,T48845,CW116021479,K045376.000,CW3316021479
004887197,T130421,CW101728147,K103528.001,CW3301728147
004779567,N25290,CW120407711,K014395.000,CW3320407711
004787417,N6941,CW107485829,K004194.000,CW3307485829
004802010,T32976,CW106401364,K035872.000,CW3306401364
004860797,T95674,CW104783583,K077073.000,CW3304783583
004784723,N46658,CW117076095,K018102.000,CW3317076095
004877991,T117671,CW103720346,K094305.001,CW3303720346
004845953,T73624,CW114773726,K062201.000,CW3314773726
004796369,T22306,CW114025491,K030979.000,CW3314025491
004834045,T56856,CW104348765,K050262.000,CW3304348765
004878235,T117967,CW114215950,K094550.001,CW3314215950
004875109,T114203,CW114210156,K091416.000,CW3314210156
004807815,T42262,CW120918261,K041371.001,CW3320918261
004889685,T133814,CW106160678,K106025.000,CW3306160678
004864381,T100223,CW108361572,K080662.004,CW3308361803
004840704,T66284,CW117392360,K056933.000,CW3317392360
004902747,T49633,CW107682406,K045920.000,CW3307682406
004774714,N1634,CW108100604,K001036.000,CW3308100604
004826394,T220390,CW117207439,K130649.000,CW3317207439
004803414,T35288,CW113846014,K037211.000,CW3313846014
004787619,N727,CW100965638,K000454.000,CW3300965638
004873557,T112223,CW122539448,K089860.000,CW3322539448
004909878,T6430,CW113238047,K023579.000,CW3313238047
004856820,T90012,CW105055030,K073090.000,CW3305055030
004786760,N628,CW110184104,K000379.000,CW3310184104
