datefield,shelfmarks,title,publisher,edition,flickr_url_to_book_images,place,issuance,authors,identifier,corporate,date
1795,"b'British Library HMNTS 11641.bb.55.,British Library HMNTS 12270.pp.4.(6.)'","b""John Gilpin's Ghost: or the warning voice of King Chanticleer. An historical ballad, written before the late trials [of Thelwall and others] and dedicated to the Treason-Hunters of Oakham. By J. Thelwall""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607791',b'London',b'monographic',b'creator',b'003607791',b'',b'1795'
1795,b'British Library HMNTS 12270.pp.4.(2.)',"b'The Natural and Constitutional Rights of Britons to Annual Parliaments, Universal Suffrage, and Freedom of Popular Association; being a vindication of the motives and political conduct of J. Thelwall, and of the London Corresponding Society, in general. Intended to have been delivered at the bar of the Old Bailey, in confutation of the late charges of High Treason. Few MS. notes'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607798',b'London',b'monographic',b'creator',b'003607798',b'',b'1795'
1791,b'British Library HMNTS 12270.pp.8.(3.)',"b'Ode to Science. Recited at the anniversary meeting of the Philomathian Society, June 20, 1791. Together with the song, snug by Brother Webb, on the same occasion'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607799',b'London',b'monographic',b'creator',b'003607799',b'',b'1791'
1795,b'British Library HMNTS 12270.pp.4.(5.)',"b'Political Lectures. Volume the first, Part the first: containing the Lecture on Spies and Informers (fourth edition), and the first Lecture on Prosecutions for Political Opinion (third edition). To which is prefixed, a Narrative of facts relative to the recent attempt to wrest from the people the palladium of their natural and constitutional rights. Few MS. notes [by the Author]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607809',b'London',b'monographic',b'creator',b'003607809',b'',b'1795'
1796,b'British Library HMNTS 12270.pp.4.(7.)',"b""Prospectus of a course of Lectures to be delivered ... in strict conformity with the restrictions of Mr. Pitt's Convention Act""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607810',b'London',b'monographic',b'creator',b'003607810',b'',b'1796'
1796,b'British Library HMNTS 12270.pp.4.(1.)',b'[Sober reflections on the seditious and inflammatory Letter of the Right Hon. Edmund Burke to a Noble Lord. Addressed to the serious consideration of his fellow citizens. By J. Thelwall.]',b'H. D. Symonds',b'[Another edition.]',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607818',b'London',b'monographic',b'creator',b'003607818',b'',b'1796'
[1795.],b'British Library HMNTS 12270.pp.4.(3.)',"b'The Speech of John Thelwall at the General Meeting of the Friends of Parliamentary Reform, called by the London Corresponding Society ... October 26, 1795. Taken in short-hand by W. Ramsey. The third edition with corrections'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607819',b'London',b'monographic',"b'contributor,creator'",b'003607819',b'',b'1795'
1795,"b'British Library HMNTS 12270.pp.4.(4.),British Library HMNTS 1137.f.12.,British Library HMNTS 1389.d.10.(2.)'","b'The Speech of John Thelwall at the second Meeting of the London Corresponding Society ... at Copenhagen House ... November 12, 1795. Taken in short hand by W. Ramsey. To which is added the reply to the calumnies against the former meeting, etc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003607820',b'London',b'monographic',"b'contributor,creator'",b'003607820',b'',b'1795'
1790,b'British Library HMNTS 992.k.27.(5.)',"b'The Theriad, an heroi-comic poem; to which are subjoined some miscellaneous pieces and notes. By a Young Gentleman. [Thomas Rodd.]'",b'Printed for W. Lowndes',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003610566',b'London',b'monographic',b'contributor',b'003610566',b'',b'1790'
1792,"b'British Library HMNTS 643.g.12.(1.),British Library HMNTS 163.k.67.'","b'Sir Thomas More: a tragedy. By the author of The Village Curate [i.e. James Hurdis], etc,Appendix'",b'J. Johnson',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003616498',b'London',b'monographic',b'',b'003616498',b'',b'1792'
1796,b'British Library HMNTS 644.k.22.(5.)',b'The Paradise of Taste. [A poem.]',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003625099',b'London',b'monographic',b'creator',b'003625099',b'',b'1796'
1792,b'British Library HMNTS 11643.g.27.',"b'[The Seasons ... A new edition.],The Seasons'",b'J. Murray',"b'New edition, adorned with a set of engravings, from original designs. To which is prefixed, an Essay on the plan and character of the poem, by J. Aikin. MS. notes.'",b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003626273',b'London',b'monographic',b'creator',b'003626273',b'',b'1792'
1793,"b'British Library HMNTS 11642.cc.30.(2.),British Library HMNTS 992.h.21.(11.)'",b'[Topsy Turvy: with anecdotes and observations illustrative of leading characters in the present Government of France. [By G. Huddesford.]]',b'',b'Second edition.',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003654518',b'London',b'monographic',b'',b'003654518',b'',b'1793'
1795,"b'British Library HMNTS 992.h.5.(2.),British Library HMNTS 11650.cc.16.(2.)'","b'Touchstone: or, the Analysis of Peter Pindar [i.e. John Wolcott] with cursory remarks on some modern painters, etc. [In verse.]'",b'B. Crosby',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003659432',b'London',b'monographic',b'',b'003659432',b'',b'1795'
1796,"b'British Library HMNTS 11641.bb.64.(2.),British Library HMNTS 1464.g.15.'",b'[Poems.]',b'',b'[Another edition. With illustrations by T. Stothard.]',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003663115',b'London',b'monographic',"b'contributor,creator'",b'003663115',b'',b'1796'
